Name;Revision;Veraltet;Migration;ImpExp;JavaKlasse;JavaPackage;JavaKommentar
Lernplattformen;0;-1;1;1;DTOLernplattformen;svws.auth;Tabelle mit Lernplattformen die die Schule nutzt und zu denen Credentials existieren
Logins;0;-1;1;1;DTOProtokollLogin;schild.benutzer;Tabelle zur Speicherung der LogIns mit Benutzernamen und Zeit für die Datenbank-User
NichtMoeglAbiFachKombi;0;-1;1;1;DTOFaecherNichtMoeglicheKombination;schild.gost;Nicht mögliche Abiturfach-Kombinationen unter Fächer der Oberstufe bearbeiten
Personengruppen;0;-1;1;1;DTOPersonengruppen;schild.personengruppen;Katalog der definierten Personengruppen
Personengruppen_Personen;0;-1;1;1;DTOPersonengruppenPersonen;schild.personengruppen;Zuordnung von Personen zur den Einträgen in der Tabelle Personengruppen
Schild_Verwaltung;0;-1;1;1;DTOSchildVerwaltung;schild;Verwaltung von Versionsnummern, Datum, teilweise veraltet oder nie verwendet
SchildFilter;0;-1;1;1;DTOSchildAuswahlFilter;schild;Gespeicherte Filter aus Filter I
Schildintern_AbiturInfos;0;-1;0;0;DTOInternAbiturInfos;schild.intern;Abfragen für die Algorithmen der alten Abitur-Prüfungsordnungen (ausgelaufen???)
Schildintern_Berufsebene;0;-1;0;0;DTOInternBerufsebene;schild.intern;Berufsebenen für die Fachklassen an BK – Zeugnisdruck
Schildintern_Datenart;0;-1;0;0;DTOInternDatenart;schild.intern;Wird beim Export in Text/Excel-Dateien verwendet. Definiert die für den Export zur Verfügung stehenden Datenarten
Schildintern_DQR_Niveaus;0;-1;0;0;DTOInternDQRNiveaus;schild.intern;DQR Referenzniveaus für Fachklassen am BK (Zeugnisdruck)
Schildintern_Fachgruppen;0;-1;0;0;DTOInternFachgruppen;schild.intern;Fächergruppen Schulformbezogen für Eintragungen bei den Unterrichtsfächern
Schildintern_FaecherSortierung;0;-1;0;0;DTOInternFaecherSortierung;schild.intern;Wird in diversen Algorithmen verwendet, um zu ermitteln, zu welcher Fachgruppe ein Fach (ASD-Bezeichnung) gehört.
Schildintern_FilterFehlendeEintraege;0;-1;0;0;DTOInternFilterFehlendeEintraege;schild.intern;Liste mit Feldern, die für den Filter auf fehlende Einträge verwendet werden können
Schildintern_FilterFeldListe;0;-1;0;0;DTOInternFilterFeldListe;schild.intern;"Wird im ""Attributsfilter"" verwendet (für die Ja/Nein-Auswahl)"
Schildintern_HSchStatus;0;-1;0;0;DTOInternSchuelerStatus;schild.intern;Liste der möglichen Schüler Status-Werte
Schildintern_K_Schulnote;0;-1;0;0;DTOInternSchulnote;schild.intern;Liste der möglichen Noteneinträge in den Leistungsdaten
Schildintern_KAoA_Anschlussoption;0;-1;0;0;DTOKAoAAnschlussoption;schild.intern;KAOA-Defaultdaten werden vom MSB geliefert
Schildintern_KAoA_Berufsfeld;0;-1;0;0;DTOKAoABerufsfeld;schild.intern;KAOA-Defaultdaten werden vom MSB geliefert
Schildintern_KAoA_Kategorie;0;-1;0;0;DTOKAoAKategorie;schild.intern;KAOA-Defaultdaten werden vom MSB geliefert
Schildintern_KAoA_Merkmal;0;-1;0;0;DTOKAoAMerkmal;schild.intern;KAOA-Defaultdaten werden vom MSB geliefert
Schildintern_KAoA_Zusatzmerkmal;0;-1;0;0;DTOKAoAZusatzmerkmal;schild.intern;KAOA-Defaultdaten werden vom MSB geliefert
Schildintern_KAoA_SBO_Ebene4;0;-1;0;0;DTOKAoASBOEB4;schild.intern;KAOA-Defaultdaten werden vom MSB geliefert
Schildintern_Laender;0;-1;0;0;DTOInternLaender;schild.intern;Liste der Bundesländer
Schildintern_PrfSemAbschl;0;-1;0;0;DTOInternPrfSemesterAbschluss;schild.intern;Liste der Versetzungsvermerke Schulformbezogen
Schildintern_PruefOrd_Optionen;0;-1;0;0;DTOInternPruefungsOrdnungOptionen;schild.intern;Eintragungen der möglichen Abschlüsse und deren Texte für Schildintern_PruefungsOrdnung
Schildintern_PruefungsOrdnung;0;-1;0;0;DTOInternPruefungsOrdnung;schild.intern;Auflistung der Prüfungsordnungen zu Schulformen und Jahrgängen
Schildintern_SchuelerImpExp;0;-1;0;0;DTOInternSchuelerImportExport;schild.intern;"Wird in SchILD2.0 beim ""Katalog-Export"" und (""Datenaustausch>>Kataloge exportieren"") verwendet. Frage: Wird das in Zukunft noch benötigt?"
