Fach;Bezeichnung;FachkuerzelAtomar;Kurzbezeichnung;Aufgabenfeld;Fachgruppe_ID;SchulformenUndGliederungen;SchulformenAusgelaufen;AusgelaufenInSchuljahr;AbJahrgang;IstFremdsprache;IstHKFS;IstAusRegUFach;IstErsatzPflichtFS;IstKonfKoop;NurSII;ExportASD;gueltigVon;gueltigBis
SI;Spiel;SI;Spiel;;;BK,S,SB;;;;0;0;0;0;0;0;1;;
SL;Soziologie;SL;Soziologie;;6;BK,SB,WB;;;;0;0;0;0;0;0;1;;
SM;Unterricht in der Herkunftssprache - Spanisch;SM;Unterricht in der Herkunftssprache - Spanisch;;;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;1;1;0;0;0;0;1;;
SP;Sport;SP;Sport;;12;BK,G,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V,WB;;;;0;0;0;0;0;0;1;;
SQ;Spanisch, außerhalb des regulären Fachunterrichts;S;Spanisch, außerhalb des regulären Fachunterrichts;;;GE,GM,GY,PS,R,SG,SK,SR;;;;1;0;1;0;0;0;1;;
SR;Sonstige Fremdsprachen;SR;Sonstige Fremdsprachen;;;BK,FW,G,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V,WB;;;;1;0;0;0;0;0;1;;
SU;Sachunterricht;SU;Sachunterricht;;;G,PS,S,V;;;;0;0;0;0;0;0;1;;
SW;Sozialwissenschaften;SW;Sozialwissenschaften;2;6;BK,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V,WB;;;;0;0;0;0;0;0;1;;
SZ;Sozialwissenschaften/Wirtschaft;SZ;Sozialwissenschaften/Wirtschaft;;;GE,GM,GY,PS,SG,SK,WB;;;;0;0;0;0;0;0;1;;
T;Türkisch;T;Türkisch;1;3;BK,H,SB,(SK,H),WB;;;;1;0;0;0;0;0;1;;
T0;Türkisch, regulärer Beginn in der Einführungsphase;T;Türkisch, regulärer Beginn in der Einführungsphase;1;3;GE,GM,GY,PS,SG;;;EF;0;0;0;0;0;1;1;;
T5;Türkisch, regulärer Beginn in Jahrgang 5;T;Türkisch, regulärer Beginn in Jahrgang 5;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;5;0;0;0;0;0;0;1;;
T6;Türkisch, regulärer Beginn in Jahrgang 6;T;Türkisch, regulärer Beginn in Jahrgang 6;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;6;0;0;0;0;0;0;1;;
T7;Türkisch, regulärer Beginn in Jahrgang 7;T;Türkisch, regulärer Beginn in Jahrgang 7;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;7;0;0;0;0;0;0;1;;
T8;Türkisch, regulärer Beginn in Jahrgang 8;T;Türkisch, regulärer Beginn in Jahrgang 8;1;3;GE,GM,GY,PS,R,SG,SK,SR;;;8;0;0;0;0;0;0;1;;
TC;Technik;TC;Technik;3;11;GE,(GM,R),(GM,GY8),(GM,GY9),GY,(H,R),PS,R,S,SG,SK,SR,WB;;;;0;0;0;0;0;0;1;;
TG;Technische Grundbildung;TG;Technische Grundbildung;;;BK,SB;;;;0;0;0;0;0;0;1;;
TH;Herkunftssprache anstelle einer Pflichtfremdsprache - Türkisch;TH;Herkunftssprache anstelle einer Pflichtfremdsprache - Türkisch;;;GE,GM,GY,(H,R),PS,R,S,SG,SK,SR;;;;1;1;0;1;0;0;1;;
TI;Technische Informatik;TI;Technische Informatik;;;BK,SB;;;;0;0;0;0;0;0;1;;
TM;Unterricht in der Herkunftssprache - Türkisch;TM;Unterricht in der Herkunftssprache - Türkisch;;;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;1;1;0;0;0;0;1;;
TQ;Türkisch, außerhalb des regulären Fachunterrichts;T;Türkisch, außerhalb des regulären Fachunterrichts;;;GE,GM,GY,PS,R,SG,SK,SR;;;;1;0;0;0;0;0;1;;
TV;Textverarbeitung;TV;Textverarbeitung;;;BK,SB;;;;0;0;0;0;0;0;1;;
TX;Textilgestaltung;TX;Textilgestaltung;;;GE,GM,GY,H,PS,R,S,SG,SK,SR,V;;;;0;0;0;0;0;0;1;;
TZ;Technisches Zeichnen / Fachzeichnen;TZ;Technisches Zeichnen / Fachzeichnen;;;BK,SB;;;;0;0;0;0;0;0;1;;
UH;Herkunftssprache anstelle einer Pflichtfremdsprache - Russisch;UH;Herkunftssprache anstelle einer Pflichtfremdsprache - Russisch;;;GE,GM,GY,(H,R),PS,R,S,SG,SK,SR;;;;1;1;0;1;0;0;1;;
UM;Unterricht in der Herkunftssprache - Rumänisch;UM;Unterricht in der Herkunftssprache - Rumänisch;;;BK,G,GE,GM,GY,H,PS,R,S,SB,SG,SK,SR,V;;;;1;1;0;0;0;0;1;;
UU;fächerübergreifender Unterricht (Sprache/Sachunt./Mathematik/Förderunt.);UU;fächerübergreifender Unterricht (Sprache/Sachunt./Mathematik/Förderunt.);;;G,PS,S,V;;;;0;0;0;0;0;0;1;;
UW;Unterweisung;UW;Unterweisung;;;GE,GM,PS,SK;;;;0;0;0;0;0;0;1;;
VE;Verwaltungskunde;VE;Verwaltungskunde;;;BK,SB;;;;0;0;0;0;0;0;1;;
VF;Sonstige Fächer und Fächer im genehmigten Schulversuch;VF;Sonstige Fächer und Fächer im genehmigten Schulversuch;;;G,GE,GM,GY,H,PS,R,S,SG,SK,SR,V,WB;;;;0;0;0;0;0;0;1;;
VH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bulgarisch;VH;Herkunftssprache anstelle einer Pflichtfremdsprache - Bulgarisch;;;GE,GM,GY,H,PS,R,S,SG,SK,SR;;;;1;1;0;1;0;0;1;;
VK;Verkaufskunde;VK;Verkaufskunde;;;BK,SB;;;;0;0;0;0;0;0;1;;
